,index,date,open,high,low,close,volume,Name,Average
0,307275,2014-12-31,112.65,113.36,111.08,111.2,618805,ROK,112.22
1,307276,2015-01-02,111.93,112.58,109.95,111.04,712880,ROK,111.265
2,307277,2015-01-05,109.66,109.93,107.08,107.31,1339297,ROK,108.505
3,307278,2015-01-06,107.25,107.77,104.89,106.08,1063535,ROK,106.33
4,307279,2015-01-07,107.18,107.55,105.92,106.26,1242094,ROK,106.735
5,307280,2015-01-08,107.34,109.41,107.17,109.39,847383,ROK,108.28999999999999
6,307281,2015-01-09,109.97,109.97,106.21,107.51,1122979,ROK,108.09
7,307282,2015-01-12,107.24,107.2799,105.18,106.0,667717,ROK,106.22995
8,307283,2015-01-13,106.45,107.09,103.26,104.48,912841,ROK,105.17500000000001
9,307284,2015-01-14,103.0,105.02,102.6,104.87,1799095,ROK,103.81
10,307285,2015-01-15,105.43,106.31,104.3,104.8,1280916,ROK,105.305
11,307286,2015-01-16,104.49,104.77,102.31,104.69,1392503,ROK,103.53999999999999
12,307287,2015-01-20,105.39,106.01,104.22,105.45,1129853,ROK,105.11500000000001
13,307288,2015-01-21,104.97,106.485,104.97,106.39,684550,ROK,105.72749999999999
14,307289,2015-01-22,108.21,109.02,106.47,108.52,1809124,ROK,107.745
15,307290,2015-01-23,108.25,108.85,106.73,106.86,1079161,ROK,107.78999999999999
16,307291,2015-01-26,106.62,107.32,105.49,107.25,1158525,ROK,106.405
17,307292,2015-01-27,107.73,108.26,104.69,107.24,3431301,ROK,106.475
18,307293,2015-01-28,109.51,111.42,107.49,108.56,4327980,ROK,109.455
19,307294,2015-01-29,108.78,110.11,106.82,110.02,1738622,ROK,108.465
20,307295,2015-01-30,109.03,109.68,108.05,108.92,1349705,ROK,108.86500000000001
21,307296,2015-02-02,109.38,112.17,108.95,111.89,1305454,ROK,110.56
22,307297,2015-02-03,113.05,114.55,112.24,114.33,1484098,ROK,113.395
23,307298,2015-02-04,113.73,113.73,111.81,112.1,1373772,ROK,112.77000000000001
24,307299,2015-02-05,112.14,113.27,112.08,113.04,823415,ROK,112.675
25,307300,2015-02-06,113.12,114.25,112.25,112.65,952295,ROK,113.25
26,307301,2015-02-09,112.0,115.11,111.46,115.03,1134880,ROK,113.285
27,307302,2015-02-10,115.465,115.67,113.56,115.0,908177,ROK,114.61500000000001
28,307303,2015-02-11,114.78,115.84,113.74,115.33,1169143,ROK,114.78999999999999
29,307304,2015-02-12,115.94,117.05,115.321,116.88,1115027,ROK,116.18549999999999
30,307305,2015-02-13,117.05,118.24,117.01,117.9,999063,ROK,117.625
31,307306,2015-02-17,117.9,118.19,117.03,117.82,774128,ROK,117.61
32,307307,2015-02-18,117.75,118.96,117.12,118.45,1161415,ROK,118.03999999999999
33,307308,2015-02-19,117.91,118.52,117.01,117.83,733442,ROK,117.765
34,307309,2015-02-20,117.62,118.3,115.86,118.2,792540,ROK,117.08
35,307310,2015-02-23,117.4,117.9,116.16,117.71,977990,ROK,117.03
36,307311,2015-02-24,116.79,118.53,116.79,118.42,697348,ROK,117.66
37,307312,2015-02-25,118.28,118.32,116.87,117.58,531761,ROK,117.595
38,307313,2015-02-26,117.84,118.32,116.75,117.41,828658,ROK,117.535
39,307314,2015-02-27,117.58,117.82,116.34,117.04,1202884,ROK,117.08
40,307315,2015-03-02,116.36,117.78,115.38,117.73,819139,ROK,116.58
41,307316,2015-03-03,116.94,117.72,116.4,117.13,607221,ROK,117.06
42,307317,2015-03-04,116.34,116.34,113.88,114.85,1163368,ROK,115.11
43,307318,2015-03-05,115.07,115.37,113.73,114.2,980967,ROK,114.55000000000001
44,307319,2015-03-06,113.13,114.29,111.95,112.36,752377,ROK,113.12
45,307320,2015-03-09,112.61,112.92399999999999,111.96,112.33,899823,ROK,112.442
46,307321,2015-03-10,111.22,112.1,110.67,110.7,863861,ROK,111.38499999999999
47,307322,2015-03-11,110.66,110.92,109.7,109.98,1459379,ROK,110.31
48,307323,2015-03-12,111.46,113.65,111.22,113.24,1091071,ROK,112.435
49,307324,2015-03-13,112.55,112.82,110.98,111.52,1330799,ROK,111.9
50,307325,2015-03-16,112.35,114.76,112.12,114.6,1038353,ROK,113.44
51,307326,2015-03-17,113.48,113.61,112.59,113.02,801054,ROK,113.1
52,307327,2015-03-18,112.76,116.61,112.02,115.69,1143511,ROK,114.315
53,307328,2015-03-19,115.0,115.48,114.11,114.5,741140,ROK,114.795
54,307329,2015-03-20,115.57,116.59,115.01,116.15,1497138,ROK,115.80000000000001
55,307330,2015-03-23,115.99,116.4,115.21,115.25,1115537,ROK,115.805
56,307331,2015-03-24,114.82,116.69,114.75,116.13,1171831,ROK,115.72
57,307332,2015-03-25,116.0,116.11,113.7,113.71,1042445,ROK,114.905
58,307333,2015-03-26,113.35,113.91,112.89,113.4,1021855,ROK,113.4
59,307334,2015-03-27,113.72,113.72,112.66,113.14,1189547,ROK,113.19
60,307335,2015-03-30,114.21,115.98,114.0,115.52,1163326,ROK,114.99000000000001
61,307336,2015-03-31,115.14,116.27,113.755,115.99,1378111,ROK,115.01249999999999
62,307337,2015-04-01,114.91,115.39,112.91,113.23,1380543,ROK,114.15
63,307338,2015-04-02,113.11,113.87,112.47,112.8,991093,ROK,113.17
64,307339,2015-04-06,112.59,115.59,111.8926,114.38,847258,ROK,113.7413
65,307340,2015-04-07,113.89,114.71,112.73,112.81,666201,ROK,113.72
66,307341,2015-04-08,112.01,113.49,110.27,111.55,1257918,ROK,111.88
67,307342,2015-04-09,111.48,112.26,110.97,111.7,1437137,ROK,111.61500000000001
68,307343,2015-04-10,111.51,111.64,110.17,111.55,999396,ROK,110.905
69,307344,2015-04-13,111.46,111.8,111.07,111.28,682841,ROK,111.435
70,307345,2015-04-14,110.01,111.8,110.0,111.52,1305284,ROK,110.9
71,307346,2015-04-15,111.71,114.44,111.71,114.14,1693432,ROK,113.07499999999999
72,307347,2015-04-16,113.74,114.68,112.73,114.33,1033264,ROK,113.70500000000001
73,307348,2015-04-17,113.37,113.6895,112.0,112.31,903177,ROK,112.84475
74,307349,2015-04-20,113.14,114.58,113.03,114.14,589931,ROK,113.805
75,307350,2015-04-21,114.14,114.45,113.11,113.72,964224,ROK,113.78
76,307351,2015-04-22,113.83,114.28,112.15,114.02,843898,ROK,113.215
77,307352,2015-04-23,113.45,114.27,112.38,114.02,863013,ROK,113.32499999999999
78,307353,2015-04-24,114.03,114.19,111.46,112.13,1045301,ROK,112.82499999999999
79,307354,2015-04-27,112.57,114.96,112.17,114.84,1951884,ROK,113.565
80,307355,2015-04-28,114.15,114.7,112.94,113.54,1587599,ROK,113.82
81,307356,2015-04-29,113.15,113.46,111.4,112.33,1705157,ROK,112.43
82,307357,2015-04-30,117.12,122.66,116.44,118.6,3902752,ROK,119.55
83,307358,2015-05-01,119.15,122.055,119.15,121.24,1351369,ROK,120.6025
84,307359,2015-05-04,121.5,122.66,121.09,122.21,995946,ROK,121.875
85,307360,2015-05-05,121.48,122.48,119.88,120.2,937219,ROK,121.18
86,307361,2015-05-06,121.06,121.8,119.77,120.85,1055391,ROK,120.785
87,307362,2015-05-07,120.67,120.99,119.065,119.44,1091165,ROK,120.0275
88,307363,2015-05-08,120.81,120.98,119.6,120.08,1070046,ROK,120.28999999999999
89,307364,2015-05-11,119.63,121.39,119.38,120.65,681546,ROK,120.38499999999999
90,307365,2015-05-12,120.13,122.7,119.65,121.66,989261,ROK,121.17500000000001
91,307366,2015-05-13,122.26,124.46,121.77,123.62,1317438,ROK,123.115
92,307367,2015-05-14,123.42,124.7,122.86,124.41,1019109,ROK,123.78
93,307368,2015-05-15,124.34,124.41,122.82,124.37,681410,ROK,123.615
94,307369,2015-05-18,124.0,125.53,123.96,125.06,1006289,ROK,124.745
95,307370,2015-05-19,124.83,125.62,124.13,125.01,945227,ROK,124.875
96,307371,2015-05-20,124.98,125.456,124.37100000000001,125.0,523910,ROK,124.9135
97,307372,2015-05-21,125.1,126.29,125.1,125.67,759416,ROK,125.695
98,307373,2015-05-22,125.46,126.0,125.13,125.13,505315,ROK,125.565
99,307374,2015-05-26,124.7,124.86399999999999,123.51,123.74,811197,ROK,124.187
100,307375,2015-05-27,124.0,124.84,123.78,124.66,860479,ROK,124.31
101,307376,2015-05-28,124.04,124.698,123.64,123.82,722231,ROK,124.169
102,307377,2015-05-29,123.83,123.83,122.25,122.89,717526,ROK,123.03999999999999
103,307378,2015-06-01,122.79,124.48,122.32,123.83,900951,ROK,123.4
104,307379,2015-06-02,123.83,126.56,123.24,125.53,1182730,ROK,124.9
105,307380,2015-06-03,126.3,126.67,125.26,126.3,913242,ROK,125.965
106,307381,2015-06-04,125.69,125.78,124.2,124.53,925609,ROK,124.99000000000001
107,307382,2015-06-05,124.1,125.34,123.38,125.17,534071,ROK,124.36
108,307383,2015-06-08,124.79,125.31,124.54,124.99,753912,ROK,124.92500000000001
109,307384,2015-06-09,125.03,125.92,125.0,125.12,659403,ROK,125.46000000000001
110,307385,2015-06-10,125.99,126.92,125.56,126.72,691817,ROK,126.24000000000001
111,307386,2015-06-11,126.5,127.05,126.02,126.89,647001,ROK,126.535
112,307387,2015-06-12,126.75,126.89,125.62,125.87,539966,ROK,126.255
113,307388,2015-06-15,125.27,125.27,123.08,123.9,1127411,ROK,124.175
114,307389,2015-06-16,123.82,124.59,123.28,124.09,654557,ROK,123.935
115,307390,2015-06-17,124.28,124.84,123.28,124.61,446299,ROK,124.06
116,307391,2015-06-18,124.88,126.32,124.8,125.59,627319,ROK,125.56
117,307392,2015-06-19,125.4,125.71,124.3,124.37,618293,ROK,125.005
118,307393,2015-06-22,125.27,126.23,124.73,125.85,727762,ROK,125.48
119,307394,2015-06-23,126.18,126.18,125.23,125.59,543551,ROK,125.70500000000001
120,307395,2015-06-24,125.5,125.93,125.015,125.17,509039,ROK,125.4725
121,307396,2015-06-25,125.17,125.29,123.79,124.02,410549,ROK,124.54
